wavelength_nm,relative_power
400,2.058131786418126e-19
401,3.9797198059266026e-19
402,7.656325514120294e-19
403,1.46546975351047e-18
404,2.7907562481415296e-18
405,5.28756268347123e-18
406,9.967304562148109e-18
407,1.8693408881575273e-17
408,3.4880914184974126e-17
409,6.475536993156416e-17
410,1.1960581520593426e-16
411,2.1979478249169908e-16
412,4.0185653851403644e-16
413,7.309930971246942e-16
414,1.3229520068157548e-15
415,2.3821191458305142e-15
416,4.267479530575815e-15
417,7.606204371746215e-15
418,1.3488172475469801e-14
419,2.3797251903031633e-14
420,4.1772366679299685e-14
421,7.295245848227541e-14
422,1.267591619702933e-13
423,2.1913278749571063e-13
424,3.7689809632207424e-13
425,6.44954535542672e-13
426,1.098051817827553e-12
427,1.8599666020642e-12
428,3.1345560028401263e-12
429,5.255759665221022e-12
430,8.767656739554924e-12
431,1.455191522836691e-11
432,2.4029534093474304e-11
433,3.947836166948038e-11
434,6.452997087518637e-11
435,1.0494273862172603e-10
436,1.697977357474036e-10
437,2.733379748720807e-10
438,4.3778071577575215e-10
439,6.975925891590215e-10
440,1.1059504411552754e-09
441,1.7444480911840399e-09
442,2.7375938226945784e-09
443,4.274334935148415e-09
444,6.63982548742571e-09
445,1.026203181091301e-08
446,1.577969573179747e-08
447,2.4140845115645555e-08
448,3.674471568108591e-08
449,5.564496705460296e-08
450,8.38388793612719e-08
451,1.2567636658803587e-07
452,1.874348507969361e-07
453,2.7812219609644865e-07
454,4.1059110047710146e-07
455,6.030759233098858e-07
456,8.81298489348365e-07
457,1.2813348480493237e-06
458,1.8534924715412435e-06
459,2.667519431780332e-06
460,3.819556458214319e-06
461,5.441352393993309e-06
462,7.712396488273452e-06
463,1.0875780163565888e-05
464,1.5258789062500007e-05
465,2.129944538520448e-05
466,2.958047185360552e-05
467,4.0872431668187006e-05
468,5.61881110649792e-05
469,7.685054729219729e-05
470,0.00010457745626315021
471,0.00014158516776919676
472,0.000190715513836123
473,0.0002555894136521312
474,0.0003407911261632715
475,0.0004520872618590292
476,0.0005966846146591797
477,0.0007835306431155934
478,0.0010236599421540274
479,0.0013305892437605097
480,0.0017207623081490642
481,0.002214044459713092
482,0.0028342644355435795
483,0.0036097986123709005
484,0.004574189543275984
485,0.005766787076866316
486,0.007233396189744464
487,0.009026911117993162
488,0.01120791054983157
489,0.01384518371336038
490,0.01701615238524443
491,0.020807149433224172
492,0.025313510807983074
493,0.030639435275376128
494,0.03689756500899441
495,0.04420824083149537
496,0.05269838876986267
497,0.0625
498,0.07374817445230865
499,0.0865787094815339
500,0.10112522908770055
